Vector:  

Add and Find:
10 0.05 3192
20 0.1 6552
30 0.153 11592
40 0.204 18312
50 0.262 26712
60 0.316 36792
70 0.377 48552
80 0.462 61992
90 0.544 77112
100 0.634 93912
110 0.742 112392
120 0.85 132552
130 0.976 154392
140 1.127 177912
150 1.313 203112
160 1.498 229992
170 1.789 257208
180 1.999 287448
190 2.17 319368
200 2.408 352968
210 2.672 388248
220 2.888 425208
230 3.125 463848
240 3.374 504168
250 3.649 546168
260 3.978 589848
270 4.286 635208
280 4.572 682248
290 4.922 730968
300 5.21 781368
310 5.52 833448
320 5.927 887208
330 6.268 942648
340 6.702 999768
350 7.099 1058568
360 7.455 1119048
370 7.928 1181208
380 8.368 1245048
390 8.812 1310568
400 9.329 1377768
410 9.739 1446648
420 10.187 1517208
