Vector:  

Add and Find:
10 0.015 163648
20 0.043 167009
30 0.075 172050
40 0.13 178771
50 0.182 187172
60 0.248 197253
70 0.34 209014
80 0.439 222455
90 0.53 237576
100 0.645 254377
110 0.781 272858
120 0.977 293019
130 1.13 314860
140 1.259 338381
150 1.434 363582
160 1.62 390463
170 1.865 419024
180 2.124 449265
190 2.359 481186
200 2.604 514787
210 2.801 550068
220 3.04 587029
230 3.407 625670
240 3.676 665991
250 3.937 707992
260 4.201 751673
270 4.56 797035
280 4.874 844077
290 5.237 892799
300 5.626 943201
310 5.938 995283
320 6.302 1049045
330 6.686 1104487
340 7.002 1161609
350 7.322 1220411
360 7.769 1280893
370 8.103 1343055
380 8.439 1406897
390 8.833 1472419
400 9.219 1539621
410 9.557 1608503
420 10.006 1679065
