Vector:  

Add and Find:
10 0 1680
20 0.001 3360
30 0.001 5040
40 0.002 6720
50 0.002 8400
60 0.002 10080
70 0.003 11760
80 0.003 13440
90 0.003 15120
100 0.003 16800
110 0.004 18480
120 0.004 20160
130 0.004 21840
140 0.005 23520
150 0.005 25200
160 0.006 26880
170 0.006 28560
180 0.007 30240
190 0.007 31920
200 0.008 33600
210 0.009 35280
220 0.009 36960
230 0.01 38640
240 0.011 40320
250 0.012 42000
260 0.012 43680
270 0.013 45360
280 0.014 47040
290 0.015 48720
300 0.016 50400
310 0.017 52080
320 0.019 53760
330 0.022 55440
340 0.023 57120
350 0.024 58800
360 0.025 60480
370 0.026 62160
380 0.028 63840
390 0.029 65520
400 0.03 67200
410 0.031 68880
420 0.032 70560
430 0.034 72240
440 0.036 73920
450 0.038 75600
460 0.039 77280
470 0.04 78960
480 0.042 80640
490 0.043 82320
500 0.045 84000
510 0.046 85680
520 0.048 87360
530 0.049 89040
540 0.051 90720
550 0.053 92400
560 0.055 94080
570 0.057 95760
580 0.059 97440
590 0.061 99120
600 0.062 100800
610 0.064 102480
620 0.066 104160
630 0.069 105840
640 0.071 107520
650 0.074 109200
660 0.076 110880
670 0.078 112560
680 0.08 114240
690 0.082 115920
700 0.085 117600
710 0.088 119280
720 0.091 120960
730 0.093 122640
740 0.096 124320
750 0.098 126000
760 0.1 127680
770 0.103 129360
780 0.105 131040
790 0.107 132720
800 0.11 134400
810 0.112 136080
820 0.114 137760
830 0.117 139440
840 0.119 141120
850 0.122 142800
860 0.125 144480
870 0.128 146160
880 0.13 147840
890 0.132 149520
900 0.135 151200
910 0.138 152880
920 0.141 154560
930 0.143 156240
940 0.146 157920
950 0.149 159600
960 0.151 161280
970 0.155 162960
980 0.157 164640
990 0.16 166320
1000 0.163 168000
1010 0.166 169680
1020 0.169 171360
1030 0.172 173040
1040 0.175 174720
1050 0.179 176400
1060 0.182 178080
1070 0.185 179760
1080 0.189 181440
1090 0.193 183120
1100 0.196 184800
1110 0.199 186480
1120 0.204 188160
1130 0.207 189840
1140 0.211 191520
1150 0.214 193200
1160 0.217 194880
1170 0.221 196560
1180 0.225 198240
1190 0.228 199920
1200 0.232 201600
1210 0.236 203280
1220 0.24 204960
1230 0.243 206640
1240 0.247 208320
1250 0.25 210000
1260 0.254 211680
1270 0.258 213360
1280 0.262 215040
1290 0.265 216720
1300 0.269 218400
1310 0.273 220080
1320 0.278 221760
1330 0.282 223440
1340 0.286 225120
1350 0.29 226800
1360 0.294 228480
1370 0.298 230160
1380 0.302 231840
1390 0.306 233520
1400 0.311 235200
1410 0.314 236880
1420 0.319 238560
1430 0.323 240240
1440 0.328 241920
1450 0.331 243600
1460 0.336 245280
1470 0.341 246960
1480 0.345 248640
1490 0.349 250320
1500 0.354 252000
1510 0.358 253680
1520 0.362 255360
1530 0.367 257040
1540 0.372 258720
1550 0.376 260400
1560 0.38 262080
1570 0.384 263760
1580 0.39 265440
1590 0.394 267120
1600 0.399 268800
1610 0.404 270480
1620 0.408 272160
1630 0.413 273840
1640 0.417 275520
1650 0.423 277200
1660 0.428 278880
1670 0.431 280560
1680 0.436 282240
1690 0.441 283920
1700 0.446 285600
1710 0.45 287280
1720 0.456 288960
1730 0.46 290640
1740 0.465 292320
1750 0.47 294000
1760 0.475 295680
1770 0.48 297360
1780 0.485 299040
1790 0.49 300720
1800 0.496 302400
1810 0.501 304080
1820 0.507 305760
1830 0.512 307440
1840 0.516 309120
1850 0.522 310800
1860 0.527 312480
1870 0.532 314160
1880 0.538 315840
1890 0.543 317520
1900 0.548 319200
1910 0.554 320880
1920 0.559 322560
1930 0.564 324240
1940 0.57 325920
1950 0.575 327600
1960 0.58 329280
1970 0.586 330960
1980 0.591 332640
1990 0.597 334320
2000 0.604 336000
2010 0.61 337680
2020 0.615 339360
2030 0.622 341040
2040 0.627 342720
2050 0.633 344400
2060 0.64 346080
2070 0.646 347760
2080 0.653 349440
2090 0.66 351120
2100 0.666 352800
2110 0.673 354480
2120 0.679 356160
2130 0.685 357840
2140 0.693 359520
2150 0.699 361200
2160 0.707 362880
2170 0.714 364560
2180 0.721 366240
2190 0.728 367920
2200 0.734 369600
2210 0.742 371280
2220 0.748 372960
2230 0.755 374640
2240 0.761 376320
2250 0.767 378000
2260 0.775 379680
2270 0.782 381360
2280 0.789 383040
2290 0.795 384720
2300 0.802 386400
